Process count: 16
Iteration: 1 | Clusters found so far: (0, 17, 36, 41), (1,), (2, 5, 40), (3, 13, 28), (4, 16, 24, 26, 27, 49), (6, 19, 42), (7,), (8,), (9, 12, 20, 34), (10,), (11, 22), (14, 39), (15,), (18,), (21, 23, 45, 50), (25,), (29, 37), (30, 31, 44, 46), (32,), (33,), (35,), (38,), (43,), (47,), (48,) | Number: 25 | Elapsed time: 0:00:00.061823
Iteration: 2 | Clusters found so far: (0,), (1,), (2,), (3, 13, 28), (4,), (5,), (6,), (7,), (8,), (9,), (10,), (11,), (12,), (14,), (15,), (16,), (17,), (18,), (19,), (20, 34), (21,), (22,), (23,), (24,), (25,), (26,), (27,), (29,), (30,), (31,), (32,), (33,), (35,), (36,), (37,), (38,), (39,), (40,), (41,), (42,), (43,), (44,), (45,), (46,), (47,), (48,), (49,), (50,) | Number: 48 | Elapsed time: 0:00:00.124558
Iteration: 3 | Clusters found so far: (0,), (1,), (2,), (3, 13, 28), (4,), (5,), (6,), (7,), (8,), (9, 20, 34), (10,), (11,), (12,), (14,), (15,), (16,), (17,), (18,), (19,), (21,), (22,), (23,), (24,), (25,), (26,), (27,), (29,), (30,), (31,), (32,), (33,), (35,), (36,), (37,), (38,), (39,), (40,), (41,), (42,), (43,), (44,), (45,), (46,), (47,), (48,), (49,), (50,) | Number: 47 | Elapsed time: 0:00:00.185354
Iteration: 4 | Clusters found so far: (0, 17), (1,), (2,), (3, 13, 28), (4, 49), (5,), (6,), (7,), (8,), (9, 20, 34), (10,), (11,), (12,), (14,), (15,), (16,), (18,), (19,), (21,), (22,), (23,), (24,), (25,), (26,), (27,), (29,), (30,), (31,), (32,), (33,), (35,), (36,), (37,), (38,), (39,), (40,), (41,), (42,), (43,), (44,), (45,), (46,), (47,), (48,), (50,) | Number: 45 | Elapsed time: 0:00:00.252903
Iteration: 5 | Clusters found so far: (0, 17, 36), (1, 21, 50), (2,), (3, 13, 28), (4, 49), (5,), (6, 42, 48), (7,), (8,), (9, 20, 34), (10, 11, 22), (12,), (14,), (15,), (16,), (18,), (19,), (23,), (24,), (25,), (26,), (27,), (29,), (30,), (31,), (32,), (33,), (35,), (37,), (38,), (39,), (40,), (41,), (43,), (44,), (45,), (46,), (47,) | Number: 38 | Elapsed time: 0:00:00.317653
Iteration: 6 | Clusters found so far: (0, 17, 36), (1, 21, 50), (2, 43), (3, 13, 28), (4, 8, 16, 26, 49), (5,), (6, 42, 48), (7, 24), (9, 20, 34), (10, 11, 22, 33), (12,), (14,), (15, 38), (18,), (19,), (23,), (25,), (27,), (29,), (30,), (31,), (32, 44), (35,), (37,), (39,), (40,), (41,), (45,), (46,), (47,) | Number: 30 | Elapsed time: 0:00:00.381354
Iteration: 7 | Clusters found so far: (0, 17, 36), (1, 21, 23, 45, 50), (2, 5), (3, 13, 28), (4, 8, 16, 26, 27, 49), (6, 12, 42, 48), (7, 24, 43, 47), (9, 20, 34), (10, 11, 22, 33), (14,), (15,), (18,), (19,), (25,), (29,), (30, 32, 44, 46), (31,), (35,), (37,), (38,), (39,), (40,), (41,) | Number: 23 | Elapsed time: 0:00:00.446992
Iteration: 8 | Clusters found so far: (0, 17, 36, 41), (1, 21, 23, 45, 50), (2, 5, 43), (3, 13, 28), (4, 8, 16, 26, 27, 49), (6, 12, 19, 42, 48), (7, 15, 24, 47), (9, 20, 34), (10, 11, 22, 33), (14,), (18,), (25,), (29,), (30, 32, 38, 44, 46), (31,), (35,), (37,), (39,), (40,) | Number: 19 | Elapsed time: 0:00:00.510363
Iteration: 9 | Clusters found so far: (0, 17, 36, 41), (1, 21, 23, 45, 50), (2, 5, 15, 39, 43, 47), (3, 13, 28), (4, 8, 16, 26, 27, 49), (6, 12, 19, 42, 48), (7, 24), (9, 20, 34), (10, 11, 22, 33), (14,), (18,), (25,), (29,), (30, 32, 38, 44, 46), (31,), (35,), (37,), (40,) | Number: 18 | Elapsed time: 0:00:00.570640
Iteration: 10 | Clusters found so far: (0, 17, 36, 41), (1, 21, 23, 45, 50), (2, 5, 7, 15, 38, 39, 43, 47), (3, 13, 28), (4, 8, 16, 26, 27, 49), (6, 12, 19, 42, 48), (9, 20, 34), (10, 11, 22, 33), (14, 29, 37), (18,), (24,), (25,), (30, 32, 44, 46), (31,), (35,), (40,) | Number: 16 | Elapsed time: 0:00:00.628268
Iteration: 11 | Clusters found so far: (0, 17, 36, 41), (1, 21, 23, 45, 50), (2, 5, 7, 15, 38, 39, 43, 47), (3, 13, 28), (4, 8, 16, 24, 26, 27, 49), (6, 12, 19, 42, 48), (9, 20, 34), (10, 11, 22, 33), (14, 29, 31, 37), (18,), (25,), (30, 32, 44, 46), (35,), (40,) | Number: 14 | Elapsed time: 0:00:00.690124
